the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000A0747D52C000000060005C4440,708920,0101000020110F0000574D582740685FC1BBBF11C870F65241,40.7187614440918,-73.9602432250977,Brooklyn,NB,New Building,321454341,3422768,NB,4494,false,4790,7/25/2018,7/19/2019 12:00,91,NORTH 6 STREET,301,G BUILDERS V LLC,MERCANTILE,2,
0101000020E6100000000000601A7252C0000000804E5D4440,257000,0101000020110F0000252F7A98F7545FC1262C2738E7F75241,40.7289581298828,-73.7828598022461,Queens,A1,ALT 1 Enlargement,421327308,4154999,A1,4811,true,0,2/16/2018,2/15/2019 12:00,186-03,UNION TURNPIKE,408,GIM CONSTRUCTION INC,BUSINESS,2,
0101000020E6100000000000C0CD7C52C000000000F35D4440,13162824,0101000020110F0000A64620B324675FC1EC6671969FF85241,40.7339782714844,-73.9500579833984,Brooklyn,NB,New Building,320626408,3064222,NB,4966,false,88938,3/29/2018,3/29/2019 12:00,270,GREEN STREET,301,"BROOKLYN GC, LLC",BUSINESS,6,
0101000020E6100000000000E0497A52C0000000C0A0614440,40404,0101000020110F000036246303DF625FC1A091A659BFFC5241,40.7627182006836,-73.910758972168,Queens,NB,New Building,421219719,4012132,NB,6088,false,273,3/6/2018,1/13/2019 12:00,28-40,45 STREET,401,SAL D'AMICO CONSTR. INC,UTILITY / MISCELLANEOUS,1,4
0101000020E610000000000040837252C00000002084634440,66600,0101000020110F0000F6C781BCA9555FC1EE220C6CDDFE5241,40.7774696350098,-73.7892608642578,Queens,NB,New Building,421579385,4129802,NB,6465,false,450,7/16/2018,9/19/2018 12:00,204-05,23 AVENUE,407,WETHERALL CONTRACTING OF,UTILITY / MISCELLANEOUS,1,
0101000020E610000000000000E97652C0000000C05B644440,1200000,0101000020110F0000A88A9EEF215D5FC16FA7FE44CFFF5241,40.784049987793,-73.8579711914062,Queens,A1,ALT 1 Enlargement,401843617,4097876,A1,6563,true,107000,2/8/2018,2/17/2019 12:00,109-09,15 AVENUE,407,KING'S USA GROUP INC,THREE FAMILY DWELLING,6,134
0101000020E610000000000080867C52C0000000002D664440,10212000,0101000020110F0000948EA6ACAB665FC176B14B2ED9015341,40.7982482910156,-73.9457092285156,Manhattan,NB,New Building,121203991,1051633,NB,6776,false,69000,8/24/2018,8/24/2019 12:00,1713,MADISON AVE,111,MC GOWAN BUILDERS INC,EDUCATIONAL,4,
0101000020E6100000000000E0917D52C0000000E0D2664440,8600000,0101000020110F0000666877D671685FC11344C34893025341,40.8033103942871,-73.962028503418,Manhattan,A1,ALT 1 Enlargement,122886500,1086190,A1,6807,true,7868,4/17/2018,4/20/2019 12:00,28,MORNINGSIDE DRIVE,109,JRM CONSTRUCTION MGMT LLC,EDUCATIONAL,4,
0101000020E610000000000020F17852C0000000201D684440,740000,0101000020110F0000C2B0B06B95605FC17155B0D905045341,40.8133888244629,-73.8897171020508,Bronx,NB,New Building,210060039,2802562,NB,6902,false,5000,5/10/2018,5/10/2019 12:00,658,CASANOVA,202,GALAXY GENERAL CONTRACTIN,STORAGE: LOW HAZARD,1,0
0101000020E6100000000000E0817C52C0000000606E694440,7821208,0101000020110F00007BE981D1A3665FC1F441405480055341,40.8236808776855,-73.945426940918,Manhattan,NB,New Building,122239434,1090659,NB,7000,false,52846,7/13/2018,7/13/2019 12:00,691,ST. NICHOLAS AVENUE,109,REAL BUILDERS INC,EDUCATIONAL,6,0
